r,gamma_ratio
50,0.9797958971132712
60,0.983192080250175
80,0.9874208829065749
100,0.9899494936611666
120,0.991631652042901
150,0.993310961716756
200,0.99498743710662
250,0.9959919678390986
300,0.9966610925150702
400,0.9974968671630001
600,0.9983319421247958
800,0.9987492177719089
