idx,r,kappa_ratio
0,800,1
1,600,1.000417972850017
2,400,1.001255493275353
3,300,1.002095120670929
4,250,1.002768345550811
5,200,1.003780731821326
6,150,1.00547487772183
7,120,1.007177630639709
8,100,1.008889063701824
9,80,1.01147265068163
10,60,1.015823090761447
11,50,1.019344151893756
