r,kappa_ratio
50,1.020620726159658
60,1.017095255431216
80,1.012739367083667
100,1.010152544552211
120,1.008438968179222
150,1.006734082821036
200,1.005037815259212
250,1.004024161128124
300,1.003350093135977
400,1.002509414234171
600,1.001670844941267
800,1.001252348643518
