-2.5 -1811.75
-2.497498213009292 -1804.4792405861206
-2.494996426018585 -1797.227346596067
-2.492494639027877 -1789.9942939783355
-2.4899928520371692 -1782.7800586814244
-2.487491065046462 -1775.5846166538336
-2.484989278055754 -1768.4079438440588
-2.4824874910650463 -1761.2500162005977
-2.479985704074339 -1754.1108096719502
-2.477483917083631 -1746.9903002066123
-2.4749821300929233 -1739.8884637530814
-2.472480343102216 -1732.8052762598593
-2.469978556111508 -1725.740713675439
-2.4674767691208004 -1718.6947519483201
-2.464974982130093 -1711.6673670270025
-2.4624731951393852 -1704.658534859981
-2.4599714081486774 -1697.6682313957551
-2.45746962115797 -1690.6964325828235
-2.4549678341672623 -1683.743114369682
-2.4524660471765545 -1676.8082527048282
-2.449964260185847 -1669.8918235367632
-2.4474624731951393 -1662.9938028139825
-2.4449606862044315 -1656.1141664849833
-2.442458899213724 -1649.2528904982662
-2.4399571122230164 -1642.4099508023264
-2.4374553252323086 -1635.5853233456628
-2.434953538241601 -1628.7789840767741
-2.4324517512508934 -1621.9909089441558
-2.429949964260186 -1615.2210738963092
-2.4274481772694783 -1608.4694548817288
-2.4249463902787705 -1601.7360278489136
-2.422444603288063 -1595.0207687463635
-2.4199428162973553 -1588.3236535225737
-2.4174410293066475 -1581.6446581260423
-2.41493924231594 -1574.9837585052696
-2.4124374553252323 -1568.3409306087513
-2.4099356683345246 -1561.7161503849848
-2.407433881343817 -1555.1093937824699
-2.4049320943531094 -1548.5206367497024
-2.4024303073624016 -1541.9498552351824
-2.3999285203716942 -1535.3970251874068
-2.3974267333809864 -1528.8621225548727
-2.3949249463902786 -1522.3451232860784
-2.3924231593995713 -1515.8460033295232
-2.3899213724088635 -1509.364738633702
-2.3874195854181557 -1502.9013051471145
-2.3849177984274483 -1496.4556788182608
-2.3824160114367405 -1490.0278355956343
-2.3799142244460327 -1483.6177514277354
-2.3774124374553254 -1477.2254022630623
-2.3749106504646176 -1470.8507640501118
-2.37240886347391 -1464.4938127373816
-2.3699070764832024 -1458.1545242733716
-2.3674052894924946 -1451.8328746065763
-2.364903502501787 -1445.5288396854962
-2.3624017155110795 -1439.2423954586295
-2.3598999285203717 -1432.9735178744713
-2.357398141529664 -1426.722182881522
-2.3548963545389565 -1420.4883664282788
-2.3523945675482487 -1414.2720444632396
-2.349892780557541 -1408.073192934901
-2.3473909935668336 -1401.8917877917634
-2.3448892065761258 -1395.7278049823228
-2.342387419585418 -1389.581220455077
-2.3398856325947106 -1383.452010158525
-2.337383845604003 -1377.340150041163
-2.334882058613295 -1371.2456160514907
-2.3323802716225877 -1365.1683841380052
-2.32987848463188 -1359.1084302492045
-2.327376697641172 -1353.0657303335852
-2.3248749106504647 -1347.0402603396483
-2.322373123659757 -1341.0319962158878
-2.319871336669049 -1335.0409139108044
-2.3173695496783417 -1329.0669893728955
-2.314867762687634 -1323.1101985506573
-2.3123659756969266 -1317.1705173925902
-2.309864188706219 -1311.247921847189
-2.307362401715511 -1305.3423878629544
-2.304860614724803 -1299.4538913883825
-2.302358827734096 -1293.5824083719733
-2.299857040743388 -1287.727914762222
-2.2973552537526807 -1281.8903865076281
-2.294853466761973 -1276.0697995566895
-2.292351679771265 -1270.2661298579023
-2.2898498927805577 -1264.4793533597674
-2.28734810578985 -1258.7094460107796
-2.284846318799142 -1252.9563837594387
-2.2823445318084348 -1247.2201425542426
-2.279842744817727 -1241.5006983436874
-2.277340957827019 -1235.798027076272
-2.274839170836312 -1230.1121047004963
-2.272337383845604 -1224.4429071648558
